year,race,population_count
2008,White,193573200
2008,Black,35033200
2008,Hispanic,45753600
2008,American Indian/Alaska Native,1919700
2008,Asian,12947100
2008,Native Hawaiian/Other Pacific Islander,384400
2008,Two Or More Races,5658400
2008,Total,295269800
2009,White,193827600
2009,Black,35385000
2009,Hispanic,47231900
2009,American Indian/Alaska Native,1894400
2009,Asian,13323700
2009,Native Hawaiian/Other Pacific Islander,399500
2009,Two Or More Races,5935800
2009,Total,297997800
2010,White,191844300
2010,Black,36217100
2010,Hispanic,49603000
2010,American Indian/Alaska Native,1997400
2010,Asian,14275400
2010,Native Hawaiian/Other Pacific Islander,444100
2010,Two Or More Races,6425000
2010,Total,300806200
2011,White,192080600
2011,Black,36478000
2011,Hispanic,50801600
2011,American Indian/Alaska Native,2002400
2011,Asian,14557700
2011,Native Hawaiian/Other Pacific Islander,441600
2011,Two Or More Races,6718700
2011,Total,303080600
2012,White,192305000
2012,Black,36797500
2012,Hispanic,51773400
2012,American Indian/Alaska Native,2022800
2012,Asian,15067900
2012,Native Hawaiian/Other Pacific Islander,472200
2012,Two Or More Races,6937700
2012,Total,305376600
2013,White,192379500
2013,Black,37122600
2013,Hispanic,52764900
2013,American Indian/Alaska Native,2008700
2013,Asian,15505700
2013,Native Hawaiian/Other Pacific Islander,448800
2013,Two Or More Races,7275400
2013,Total,307505500
2014,White,192419600
2014,Black,37599400
2014,Hispanic,54059600
2014,American Indian/Alaska Native,2006500
2014,Asian,16156500
2014,Native Hawaiian/Other Pacific Islander,481900
2014,Two Or More Races,7488800
2014,Total,310212200
2015,White,192593600
2015,Black,37923800
2015,Hispanic,55241300
2015,American Indian/Alaska Native,1986900
2015,Asian,16755300
2015,Native Hawaiian/Other Pacific Islander,466400
2015,Two Or More Races,7810600
2015,Total,312777900
2016,White,192537500
2016,Black,38081700
2016,Hispanic,56144400
2016,American Indian/Alaska Native,2041500
2016,Asian,17004500
2016,Native Hawaiian/Other Pacific Islander,514600
2016,Two Or More Races,8142200
2016,Total,314466400
2017,White,192336100
2017,Black,38408000
2017,Hispanic,57560600
2017,American Indian/Alaska Native,2039400
2017,Asian,17651200
2017,Native Hawaiian/Other Pacific Islander,502500
2017,Two Or More Races,8524700
2017,Total,317022500
2018,White,192117000
2018,Black,38655700
2018,Hispanic,58483600
2018,American Indian/Alaska Native,2082800
2018,Asian,17844800
2018,Native Hawaiian/Other Pacific Islander,519500
2018,Two Or More Races,8795000
2018,Total,318498500
